category,stay,check_in,day,nights,ktp_price,ktp_bookable,ktp_note,ktp_extra_adult_pn,ktp_extra_child_pn,discovery_room,discovery_match,discovery_member_price,discovery_public_price,discovery_bookable,discovery_note,discovery_estimated,ktp_vs_discovery_$,ktp_vs_discovery_%,discovery_extra_adult_pn,discovery_extra_child_pn,nrma_room,nrma_match,nrma_member_price,nrma_public_price,nrma_bookable,nrma_note,nrma_estimated,ktp_vs_nrma_$,ktp_vs_nrma_%,nrma_extra_adult_pn,nrma_extra_child_pn
2BR Chalet Upgraded,night,2026-09-18,Fri,1,269.0,True,,35.0,35.0,Deluxe 2 Bedroom Cabin - Fireplace,exact,178.2,198.0,True,,False,90.8,51.0,25.0,20.0,Lake View Villa,close,,,False,no data,False,,,,
2BR Chalet Upgraded,weekend,2026-09-18,Fri,2,538.0,True,,35.0,35.0,Deluxe 2 Bedroom Cabin - Fireplace,exact,350.1,389.0,True,,False,187.9,53.7,25.0,20.0,Lake View Villa,close,,,False,no data,False,,,,
2BR Chalet Upgraded,night,2026-09-19,Sat,1,269.0,True,,35.0,35.0,Deluxe 2 Bedroom Cabin - Fireplace,exact,171.9,191.0,True,,False,97.1,56.5,25.0,20.0,Lake View Villa,close,,,False,no data,False,,,,
2BR Chalet Upgraded,night,2026-09-20,Sun,1,229.0,True,,35.0,35.0,Deluxe 2 Bedroom Cabin - Fireplace,exact,170.1,189.0,True,,False,58.9,34.6,25.0,20.0,Lake View Villa,close,,,False,no data,False,,,,
2BR Chalet,night,2026-09-18,Fri,1,199.0,True,,35.0,35.0,Deluxe 2 Bedroom Cabin - Sleeps 6,exact,160.2,178.0,True,,False,38.8,24.2,25.0,20.0,Lake View Villa,close,,,False,no data,False,,,,
2BR Chalet,weekend,2026-09-18,Fri,2,398.0,True,,35.0,35.0,Deluxe 2 Bedroom Cabin - Sleeps 6,exact,314.1,349.0,True,,False,83.9,26.7,25.0,20.0,Lake View Villa,close,,,False,no data,False,,,,
2BR Chalet,night,2026-09-19,Sat,1,199.0,True,,35.0,35.0,Deluxe 2 Bedroom Cabin - Sleeps 6,exact,153.9,171.0,True,,False,45.1,29.3,25.0,20.0,Lake View Villa,close,,,False,no data,False,,,,
2BR Chalet,night,2026-09-20,Sun,1,169.0,True,,35.0,35.0,Deluxe 2 Bedroom Cabin - Sleeps 6,exact,152.1,169.0,True,,False,16.9,11.1,25.0,20.0,Lake View Villa,close,,,False,no data,False,,,,
3BR Chalet,night,2026-09-18,Fri,1,349.0,True,,45.0,45.0,Deluxe 2 Bedroom Cabin - Fireplace,none,178.2,198.0,True,,False,170.8,95.8,25.0,20.0,Lake View Villa,none,,,False,no data,False,,,,
3BR Chalet,weekend,2026-09-18,Fri,2,698.0,True,,45.0,45.0,Deluxe 2 Bedroom Cabin - Fireplace,none,350.1,389.0,True,,False,347.9,99.4,25.0,20.0,Lake View Villa,none,,,False,no data,False,,,,
3BR Chalet,night,2026-09-19,Sat,1,349.0,True,,45.0,45.0,Deluxe 2 Bedroom Cabin - Fireplace,none,171.9,191.0,True,,False,177.1,103.0,25.0,20.0,Lake View Villa,none,,,False,no data,False,,,,
3BR Chalet,night,2026-09-20,Sun,1,309.0,True,,45.0,45.0,Deluxe 2 Bedroom Cabin - Fireplace,none,170.1,189.0,True,,False,138.9,81.7,25.0,20.0,Lake View Villa,none,,,False,no data,False,,,,
Cedar Cabin,night,2026-09-18,Fri,1,149.0,True,,30.0,30.0,Economy Studio Cabin (No Bathroom),close,104.4,116.0,True,,False,44.6,42.7,25.0,20.0,Cabin No Ensuite,exact,,,False,no data,False,,,,
Cedar Cabin,weekend,2026-09-18,Fri,2,298.0,True,,30.0,30.0,Economy Studio Cabin (No Bathroom),close,210.6,234.0,True,,False,87.4,41.5,25.0,20.0,Cabin No Ensuite,exact,,,False,no data,False,,,,
Cedar Cabin,night,2026-09-19,Sat,1,149.0,True,,30.0,30.0,Economy Studio Cabin (No Bathroom),close,106.2,118.0,True,,False,42.8,40.3,25.0,20.0,Cabin No Ensuite,exact,,,False,no data,False,,,,
Cedar Cabin,night,2026-09-20,Sun,1,129.0,True,,30.0,30.0,Economy Studio Cabin (No Bathroom),close,89.1,99.0,True,,False,39.9,44.8,25.0,20.0,Cabin No Ensuite,exact,,,False,no data,False,,,,
Powered Caravan Site,night,2026-09-18,Fri,1,65.0,True,,20.0,20.0,Powered Paved Site - 25 Foot,close,42.3,47.0,True,,False,22.7,53.7,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Caravan Site,weekend,2026-09-18,Fri,2,130.0,True,,20.0,20.0,Powered Paved Site - 25 Foot,close,83.7,93.0,True,,False,46.3,55.3,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Caravan Site,night,2026-09-19,Sat,1,65.0,True,,20.0,20.0,Powered Paved Site - 25 Foot,close,41.4,46.0,True,,False,23.6,57.0,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Caravan Site,night,2026-09-20,Sun,1,55.0,True,,20.0,20.0,Powered Paved Site - 25 Foot,close,30.6,34.0,True,,False,24.4,79.7,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Camper Trailer Site,night,2026-09-18,Fri,1,49.0,True,,20.0,20.0,Powered Sites - 17 Foot,close,42.3,47.0,True,,False,6.7,15.8,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Camper Trailer Site,weekend,2026-09-18,Fri,2,98.0,True,,20.0,20.0,Powered Sites - 17 Foot,close,83.7,93.0,True,,False,14.3,17.1,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Camper Trailer Site,night,2026-09-19,Sat,1,49.0,True,,20.0,20.0,Powered Sites - 17 Foot,close,41.4,46.0,True,,False,7.6,18.4,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Camper Trailer Site,night,2026-09-20,Sun,1,39.0,True,,20.0,20.0,Powered Sites - 17 Foot,close,30.6,34.0,True,,False,8.4,27.5,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Motorhome Site,night,2026-09-18,Fri,1,39.0,True,,20.0,20.0,Powered Sites - 17 Foot,close,42.3,47.0,True,,False,-3.3,-7.8,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Motorhome Site,weekend,2026-09-18,Fri,2,78.0,True,,20.0,20.0,Powered Sites - 17 Foot,close,83.7,93.0,True,,False,-5.7,-6.8,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Motorhome Site,night,2026-09-19,Sat,1,39.0,True,,20.0,20.0,Powered Sites - 17 Foot,close,41.4,46.0,True,,False,-2.4,-5.8,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Powered Motorhome Site,night,2026-09-20,Sun,1,32.0,True,,20.0,20.0,Powered Sites - 17 Foot,close,30.6,34.0,True,,False,1.4,4.6,15.0,10.0,Powered Sites,close,,,False,no data,False,,,,
Unpowered Tent Site,night,2026-09-18,Fri,1,39.0,True,,20.0,20.0,Unpowered Site - Tent,exact,33.3,37.0,True,,False,5.7,17.1,15.0,10.0,Unpowered Sites,exact,,,False,no data,False,,,,
Unpowered Tent Site,weekend,2026-09-18,Fri,2,78.0,True,,20.0,20.0,Unpowered Site - Tent,exact,65.7,73.0,True,,False,12.3,18.7,15.0,10.0,Unpowered Sites,exact,,,False,no data,False,,,,
Unpowered Tent Site,night,2026-09-19,Sat,1,39.0,True,,20.0,20.0,Unpowered Site - Tent,exact,32.4,36.0,True,,False,6.6,20.4,15.0,10.0,Unpowered Sites,exact,,,False,no data,False,,,,
Unpowered Tent Site,night,2026-09-20,Sun,1,32.0,True,,20.0,20.0,Unpowered Site - Tent,exact,21.6,24.0,True,,False,10.4,48.1,15.0,10.0,Unpowered Sites,exact,,,False,no data,False,,,,
